,hour,Weekday
1294414,00,Monday
1294415,01,Monday
1294416,01,Monday
1294420,01,Monday
1294402,01,Monday
1294421,02,Monday
1294422,02,Monday
1294387,02,Monday
1294427,02,Monday
1294371,02,Monday
1294370,02,Monday
1294423,02,Monday
1294426,02,Monday
1294424,02,Monday
1294403,02,Monday
1294404,02,Monday
1294425,03,Monday
1294417,03,Monday
1294428,03,Monday
1294429,03,Monday
1294430,03,Monday
1294388,03,Monday
1294431,03,Monday
1294432,03,Monday
1294389,05,Monday
1294372,06,Monday
1294373,06,Monday
1294433,06,Monday
1294405,06,Monday
1294406,07,Monday
1294374,07,Monday
1294376,08,Monday
1294375,08,Monday
1294377,08,Monday
1294434,08,Monday
1294379,09,Monday
1294378,09,Monday
1294381,09,Monday
1294380,09,Monday
1294390,09,Monday
1294363,10,Monday
1294382,10,Monday
1294435,10,Monday
1294436,10,Monday
1294364,11,Monday
1294365,11,Monday
1294437,12,Monday
1294366,13,Monday
1294438,13,Monday
1294439,13,Monday
1294440,13,Monday
1294442,13,Monday
1294407,13,Monday
1294441,13,Monday
1294408,14,Monday
1294443,14,Monday
1294444,14,Monday
1294409,14,Monday
1294445,14,Monday
1294367,14,Monday
1294410,14,Monday
1294391,15,Monday
1294446,15,Monday
1294392,15,Monday
1294393,15,Monday
1294383,15,Monday
1294447,16,Monday
1294448,16,Monday
1294418,16,Monday
1294449,16,Monday
1294394,17,Monday
1294384,17,Monday
1294395,17,Monday
1294411,17,Monday
1294396,17,Monday
1294385,17,Monday
1294450,17,Monday
1294398,17,Monday
1294397,17,Monday
1294399,17,Monday
1294419,18,Monday
1294412,18,Monday
1294400,18,Monday
1294451,18,Monday
1294401,18,Monday
1294413,18,Monday
1294386,18,Monday
1294452,19,Monday
1294453,19,Monday
1294454,20,Monday
1294613,23,Monday
1294614,00,Tuesday
1294368,00,Tuesday
1294369,00,Tuesday
1294455,01,Tuesday
1294615,02,Tuesday
1294456,03,Tuesday
1294616,03,Tuesday
1294617,03,Tuesday
1294457,04,Tuesday
1294619,04,Tuesday
1294618,04,Tuesday
1294564,05,Tuesday
1294490,05,Tuesday
1294491,05,Tuesday
1294620,05,Tuesday
1294621,06,Tuesday
1294587,06,Tuesday
1294492,06,Tuesday
1294493,06,Tuesday
