,hour,Weekday
1294470,07,Tuesday
1294471,07,Tuesday
1294565,07,Tuesday
1294494,07,Tuesday
1294472,07,Tuesday
1294495,07,Tuesday
1294566,07,Tuesday
1294458,07,Tuesday
1294496,07,Tuesday
1294567,07,Tuesday
1294568,07,Tuesday
1294459,08,Tuesday
1294460,08,Tuesday
1294497,08,Tuesday
1294498,08,Tuesday
1294473,08,Tuesday
1294474,08,Tuesday
1294501,08,Tuesday
1294500,08,Tuesday
1294499,08,Tuesday
1294569,08,Tuesday
1294462,08,Tuesday
1294461,08,Tuesday
1294502,08,Tuesday
1294503,08,Tuesday
1294475,08,Tuesday
1294506,08,Tuesday
1294570,09,Tuesday
1294476,09,Tuesday
1294505,09,Tuesday
1294504,09,Tuesday
1294477,09,Tuesday
1294508,09,Tuesday
1294507,09,Tuesday
1294571,09,Tuesday
1294572,09,Tuesday
1294463,09,Tuesday
1294509,09,Tuesday
1294511,10,Tuesday
1294573,10,Tuesday
1294510,10,Tuesday
1294512,11,Tuesday
1294513,11,Tuesday
1294514,11,Tuesday
1294515,11,Tuesday
1294574,11,Tuesday
1294516,11,Tuesday
1294622,12,Tuesday
1294588,12,Tuesday
1294589,12,Tuesday
1294623,12,Tuesday
1294624,12,Tuesday
1294625,12,Tuesday
1294518,12,Tuesday
1294519,12,Tuesday
1294517,12,Tuesday
1294626,12,Tuesday
1294478,12,Tuesday
1294575,12,Tuesday
1294627,12,Tuesday
1294628,12,Tuesday
1294629,12,Tuesday
1294630,12,Tuesday
1294521,12,Tuesday
1294520,12,Tuesday
1294522,12,Tuesday
1294576,12,Tuesday
1294523,12,Tuesday
1294631,12,Tuesday
1294592,13,Tuesday
1294591,13,Tuesday
1294590,13,Tuesday
1294632,13,Tuesday
1294464,13,Tuesday
1294524,13,Tuesday
1294593,13,Tuesday
1294525,13,Tuesday
1294465,13,Tuesday
1294526,13,Tuesday
1294633,13,Tuesday
1294634,13,Tuesday
1294528,13,Tuesday
1294527,13,Tuesday
1294529,13,Tuesday
1294635,13,Tuesday
1294594,14,Tuesday
1294530,14,Tuesday
1294531,14,Tuesday
1294466,14,Tuesday
1294636,14,Tuesday
1294577,14,Tuesday
1294637,14,Tuesday
1294467,14,Tuesday
1294532,14,Tuesday
1294479,14,Tuesday
1294595,14,Tuesday
1294638,14,Tuesday
1294640,15,Tuesday
1294639,15,Tuesday
1294641,15,Tuesday
1294642,15,Tuesday
1294533,15,Tuesday
1294643,15,Tuesday
1294534,15,Tuesday
1294644,15,Tuesday
1294535,15,Tuesday
1294578,15,Tuesday
1294646,15,Tuesday
1294645,15,Tuesday
1294536,15,Tuesday
1294537,15,Tuesday
1294538,15,Tuesday
1294647,15,Tuesday
1294648,15,Tuesday
1294596,15,Tuesday
1294649,15,Tuesday
1294539,15,Tuesday
1294650,15,Tuesday
1294541,16,Tuesday
1294540,16,Tuesday
1294480,16,Tuesday
1294542,16,Tuesday
1294543,16,Tuesday
1294597,16,Tuesday
1294468,16,Tuesday
1294544,16,Tuesday
1294651,16,Tuesday
1294469,16,Tuesday
1294579,16,Tuesday
1294545,16,Tuesday
1294546,16,Tuesday
1294547,16,Tuesday
1294652,16,Tuesday
1294548,16,Tuesday
1294549,16,Tuesday
1294550,16,Tuesday
1294653,17,Tuesday
1294654,17,Tuesday
1294580,17,Tuesday
1294598,17,Tuesday
1294551,17,Tuesday
1294552,17,Tuesday
1294656,17,Tuesday
1294655,17,Tuesday
1294657,17,Tuesday
1294658,17,Tuesday
1294553,17,Tuesday
1294659,17,Tuesday
1294660,17,Tuesday
1294662,18,Tuesday
1294663,18,Tuesday
1294661,18,Tuesday
1294665,18,Tuesday
1294664,18,Tuesday
1294666,18,Tuesday
1294483,18,Tuesday
1294669,18,Tuesday
1294668,18,Tuesday
1294667,18,Tuesday
1294581,18,Tuesday
1294482,18,Tuesday
1294481,18,Tuesday
1294600,18,Tuesday
1294554,18,Tuesday
1294582,18,Tuesday
1294555,18,Tuesday
1294584,18,Tuesday
1294583,18,Tuesday
1294484,18,Tuesday
1294670,18,Tuesday
1294601,18,Tuesday
1294556,18,Tuesday
1294671,18,Tuesday
1294672,18,Tuesday
1294603,18,Tuesday
1294602,18,Tuesday
1294604,18,Tuesday
1294486,18,Tuesday
1294485,18,Tuesday
1294673,18,Tuesday
1294674,19,Tuesday
1294675,19,Tuesday
1294676,19,Tuesday
1294677,19,Tuesday
1294585,19,Tuesday
1294678,19,Tuesday
1294679,19,Tuesday
1294605,19,Tuesday
1294680,19,Tuesday
1294681,19,Tuesday
1294606,19,Tuesday
1294557,19,Tuesday
1294558,19,Tuesday
1294607,19,Tuesday
1294559,20,Tuesday
1294586,20,Tuesday
1294682,20,Tuesday
1294608,20,Tuesday
1294610,20,Tuesday
1294611,20,Tuesday
1294609,20,Tuesday
1294612,20,Tuesday
1294487,21,Tuesday
1294683,21,Tuesday
1294560,21,Tuesday
1294561,22,Tuesday
1294562,22,Tuesday
1294488,22,Tuesday
1294563,22,Tuesday
1294770,22,Tuesday
1294831,00,Wednesday
1294489,00,Wednesday
1294705,01,Wednesday
1294833,01,Wednesday
1294832,01,Wednesday
1294834,02,Wednesday
1294599,02,Wednesday
1294706,03,Wednesday
1294707,03,Wednesday
1294708,03,Wednesday
1294710,03,Wednesday
1294690,03,Wednesday
1294709,03,Wednesday
1294711,03,Wednesday
1294835,04,Wednesday
1294712,05,Wednesday
1294714,05,Wednesday
1294713,05,Wednesday
1294715,05,Wednesday
1294716,05,Wednesday
1294717,05,Wednesday
1294718,05,Wednesday
1294719,05,Wednesday
1294836,06,Wednesday
1294771,06,Wednesday
1294738,06,Wednesday
1294837,06,Wednesday
1294838,07,Wednesday
1294772,07,Wednesday
1294691,07,Wednesday
1294692,07,Wednesday
1294839,07,Wednesday
1294773,07,Wednesday
1294840,07,Wednesday
1294774,07,Wednesday
1294841,07,Wednesday
1294693,07,Wednesday
1294843,07,Wednesday
1294842,07,Wednesday
1294739,07,Wednesday
1294740,08,Wednesday
1294684,08,Wednesday
1294742,08,Wednesday
1294741,08,Wednesday
1294775,08,Wednesday
1294844,08,Wednesday
1294776,08,Wednesday
1294685,08,Wednesday
1294694,09,Wednesday
1294744,09,Wednesday
1294721,09,Wednesday
1294845,09,Wednesday
1294846,09,Wednesday
1294722,09,Wednesday
1294724,09,Wednesday
1294725,09,Wednesday
1294723,09,Wednesday
1294847,09,Wednesday
1294777,09,Wednesday
1294743,09,Wednesday
1294726,09,Wednesday
1294695,10,Wednesday
1294727,10,Wednesday
1294848,10,Wednesday
1294728,10,Wednesday
1294745,11,Wednesday
1294746,11,Wednesday
1294849,11,Wednesday
1294696,11,Wednesday
1294850,11,Wednesday
1294778,12,Wednesday
1294720,12,Wednesday
1294686,12,Wednesday
1294851,12,Wednesday
1294852,12,Wednesday
1294729,12,Wednesday
1294730,12,Wednesday
1294853,12,Wednesday
1294687,12,Wednesday
1294854,12,Wednesday
1294779,12,Wednesday
1294856,12,Wednesday
1294855,12,Wednesday
1294780,12,Wednesday
1294857,12,Wednesday
1294781,13,Wednesday
1294859,13,Wednesday
1294782,13,Wednesday
1294858,13,Wednesday
1294783,13,Wednesday
1294860,13,Wednesday
1294697,13,Wednesday
1294784,13,Wednesday
1294861,13,Wednesday
1294786,13,Wednesday
1294787,13,Wednesday
1294785,14,Wednesday
1294789,14,Wednesday
1294788,14,Wednesday
1294747,14,Wednesday
1294748,14,Wednesday
1294749,14,Wednesday
1294791,14,Wednesday
1294790,14,Wednesday
1294750,14,Wednesday
1294792,14,Wednesday
1294862,14,Wednesday
1294751,14,Wednesday
1294863,14,Wednesday
1294793,14,Wednesday
1294794,14,Wednesday
1294864,14,Wednesday
1294795,14,Wednesday
1294796,14,Wednesday
1294698,14,Wednesday
1294797,14,Wednesday
1294799,14,Wednesday
1294798,14,Wednesday
1294800,14,Wednesday
1294801,14,Wednesday
1294802,15,Wednesday
1294803,15,Wednesday
1294805,15,Wednesday
1294865,15,Wednesday
1294806,15,Wednesday
1294804,15,Wednesday
1294807,15,Wednesday
1294808,15,Wednesday
1294809,15,Wednesday
1294752,15,Wednesday
1294810,15,Wednesday
1294811,15,Wednesday
1294753,15,Wednesday
1294699,15,Wednesday
1294812,15,Wednesday
1294813,15,Wednesday
1294731,15,Wednesday
1294814,16,Wednesday
1294866,16,Wednesday
1294815,16,Wednesday
1294754,16,Wednesday
1294867,16,Wednesday
1294732,16,Wednesday
1294816,16,Wednesday
1294756,16,Wednesday
1294757,16,Wednesday
1294755,16,Wednesday
1294701,16,Wednesday
1294700,16,Wednesday
1294868,16,Wednesday
1294869,16,Wednesday
1294733,16,Wednesday
1294870,16,Wednesday
1294734,16,Wednesday
1294871,16,Wednesday
1294817,16,Wednesday
1294818,16,Wednesday
1294819,17,Wednesday
1294873,17,Wednesday
1294820,17,Wednesday
1294872,17,Wednesday
1294735,17,Wednesday
1294758,17,Wednesday
1294875,17,Wednesday
1294874,17,Wednesday
1294878,17,Wednesday
1294877,17,Wednesday
1294821,17,Wednesday
1294876,17,Wednesday
1294880,17,Wednesday
1294759,17,Wednesday
1294760,17,Wednesday
1294879,17,Wednesday
1294881,17,Wednesday
1294882,17,Wednesday
1294884,17,Wednesday
1294883,17,Wednesday
1294736,17,Wednesday
1294737,17,Wednesday
1294885,18,Wednesday
